case_id,main_analytic,issue_check_pass,attention_pass,major_party_identifier,intent,vignette,candidate_party,party_bloc,party_id_detail,ingroup3,state,sex,sex_num,age,edu,hincome,ideology,ft_rul,ft_opp,cm_1,cm_2,cm_3,cm_4,cm_5,cm_1_bin,cm_2_bin,cm_3_bin,cm_4_bin,cm_5_bin,conspiracy,conspiracy_z,conspiracy_full,conspiracy_additive,negative,enthusiasm,competent,sincere,trustworthy,undemocratic_perception
1,1,1,1,1,3,Control,ruling,ruling,Labor,In-group,QLD,male,1,21,1.5,0.8571428571428571,0.16666666666666666,0.9,0.71,14,4,2,2,2,0,1,0,0,0,-1.4666426087136961,-1.6176299766669588,-1.5181329032024826,1,0,0,1,0.75,0.75,0.25
2,0,0,0,0,0,Protests,ruling,Independent,No party ID,Independent,NSW,female,0,32,,0.7142857142857143,,0.49,0.5,15,3,3,3,3,0,0,0,0,0,,,-0.6825891916543231,0,0,0,0.5,0.5,0.5,0.5
3,1,1,0,1,0,Court,opposition,ruling,Labor,Out-group,NSW,female,0,53,1,0.5,0.16666666666666666,1,0,15,3,3,1,3,0,0,0,0,0,-1.30316096964119,-1.4373182917157972,-1.3511183103898206,0,0.25,0,0.5,0.5,0.5,0.5
4,1,1,1,1,2,Control,ruling,ruling,Labor,In-group,VIC,female,0,45,0.5,0.9285714285714286,0.5,0.79,0,16,4,4,3,4,1,1,1,0,1,0.1396170045478875,0.15399024306759262,0.10423432148196965,4,0,0,0.5,0.5,0.5,0.5
5,1,1,0,0,2,Control,ruling,Independent,One Nation,Independent,NSW,male,1,41,1.5,0.7857142857142857,0.5,0,0.18,16,5,4,3,1,1,1,1,0,0,-0.7092035714284635,-0.7822143921675061,-0.7826770276692253,3,0.25,0.25,0.5,0.5,0.5,0.5
6,1,1,0,0,1,Election,opposition,Independent,No party ID,Independent,VIC,female,0,31,1,0.7857142857142857,0.16666666666666666,0.33,0.585,16,4,2,2,2,1,1,0,0,0,-1.210805637426962,-1.335455197730141,-1.2579242121460283,2,0.25,0.25,0.75,0,0.25,0.5
7,1,1,1,0,3,Protests,opposition,Independent,No party ID,Independent,WA,female,0,63,1.5,0.9285714285714286,0.6666666666666666,0.18,0.255,17,5,3,4,4,1,1,0,1,1,0.565788733735144,0.6240353380658351,0.540656262935474,4,0.25,1,0,0.75,0.25,1
8,1,1,0,1,2,Court,opposition,opposition,Coalition,In-group,SA,male,1,64,0.5,0.7142857142857143,0.8333333333333334,0.25,0.765,16,3,2,2,2,1,0,0,0,0,-1.363434252369697,-1.503796565532802,-1.4006963926239693,1,0.25,0,0.25,0.25,0.25,0.75
9,0,0,0,1,2,Election,opposition,opposition,Coalition,In-group,SA,male,1,64,0.5,0.21428571428571427,0.16666666666666666,0.3,0.695,16,3,3,3,4,1,0,0,0,1,,,-0.20925700291638397,2,0,0.5,0.5,0.5,0.5,0.5
10,1,1,1,1,4,Protests,ruling,opposition,Coalition,Out-group,ACT,female,0,59,1.5,0.35714285714285715,0.6666666666666666,0.2,0.55,16,4,3,3,3,1,1,0,0,0,-0.37325446556768693,-0.4116801249601232,-0.40971266564815495,2,0.5,1,0.75,0.75,0.75,0.25
11,0,0,1,1,4,Control,opposition,ruling,Labor,Out-group,QLD,female,0,42,0.5,0.5714285714285714,0.6666666666666666,0.92,0.82,16,4,4,4,4,1,1,1,1,1,,,0.43849888084971844,5,0.25,0.25,0.5,0.5,0.5,0.5
12,1,1,1,0,0,Election,ruling,Independent,No party ID,Independent,NSW,male,1,58,0.5,0.35714285714285715,0.5,0.11,0.53,16,5,4,3,4,1,1,1,0,1,0.2922456194906223,0.3223316108702535,0.24700650195991067,4,0.25,0,0.25,0,0.25,0.75
13,1,1,1,1,3,Protests,ruling,ruling,Labor,In-group,WA,male,1,50,0.5,0.6428571428571429,0.3333333333333333,0.92,0.24,15,2,1,1,1,0,0,0,0,0,-2.4815325248150737,-2.7370003955738897,-2.521784465128011,0,0,0.5,0.75,0.75,0.75,0.25
14,1,1,0,0,2,Election,opposition,Independent,No party ID,Independent,NSW,female,0,32,0.5,0.35714285714285715,,0.37,0.08,15,3,3,3,3,0,0,0,0,0,-0.6538015661537888,-0.7211088822311932,-0.6825891916543231,0,0.625,0,0.5,0.5,0.5,0.5
15,0,0,1,0,0,Protests,ruling,Independent,No party ID,Independent,NSW,female,0,12,1,0.5714285714285714,0.16666666666666666,0.43,0.675,17,5,4,4,5,1,1,1,1,1,,,1.0546032500655986,5,0.375,0,0.5,0.5,0.5,0.5
16,1,1,1,1,1,Court,ruling,opposition,Coalition,Out-group,ACT,male,1,21,1,0.8571428571428571,0.8333333333333334,0.12,0.67,14,4,3,2,4,0,1,0,0,1,-0.619954741625093,-0.6837776076266566,-0.660958072862646,2,0.75,0.25,0.25,0.25,0,1
17,1,1,0,0,1,Protests,ruling,Independent,Independent,Independent,VIC,female,0,15,,0.5,0,0.85,0.82,16,4,4,4,4,1,1,1,1,1,0.4642967062915882,0.5120949478098947,0.43849888084971844,5,0.375,0.25,0.75,0.25,0.75,0
18,1,1,0,1,2,Court,opposition,ruling,Labor,Out-group,QLD,male,1,23,1.5,0.42857142857142855,0.5,0.85,0.61,14,3,4,4,4,0,0,1,1,1,0.055831120062119335,0.06157880107041591,0.035518009315323264,3,0,0.25,0.75,0.75,0.75,0.25
19,0,0,1,1,1,Court,ruling,opposition,Coalition,Out-group,QLD,female,0,26,1.5,0.07142857142857142,0.8333333333333334,0.62,0.54,15,3,3,3,3,0,0,0,0,0,,,-0.6825891916543231,0,0.625,0.5,0.5,0.75,0.75,0.5
20,0,0,1,1,2,Control,opposition,opposition,Coalition,In-group,VIC,male,1,43,1.5,0.7142857142857143,0.3333333333333333,0.23,0.34,16,4,1,2,2,1,1,0,0,0,,,-1.428643356066441,2,0.5,0.5,0.75,0.75,0.75,0.25
21,1,1,1,1,1,Election,ruling,opposition,Coalition,Out-group,VIC,male,1,64,1,0.7857142857142857,0.6666666666666666,0.18,0.805,16,4,2,4,4,1,1,0,1,1,0.10618656000649639,0.11711821377963598,0.09706059300889322,4,0.625,0,0.5,0.25,0.25,0.75
22,1,1,1,0,2,Election,opposition,Independent,No party ID,Independent,NSW,female,0,54,1,0.35714285714285715,0.6666666666666666,0,0.705,15,4,3,3,4,0,1,0,0,1,-0.1673565542380254,-0.18458551341594565,-0.19658916796667006,2,0.125,0.25,1,0.75,0.5,0
23,0,0,1,1,2,Protests,ruling,opposition,Coalition,Out-group,WA,female,0,35,1,0.6428571428571429,0.5,0.42,0.89,17,5,5,5,5,1,1,1,1,1,,,1.55958695335376,5,0,0.5,0.5,0.5,0.5,0.5
24,1,1,0,0,2,Control,opposition,Independent,Greens,Independent,NSW,male,1,53,1.5,0.5,0.16666666666666666,0.79,0,16,3,4,3,4,1,0,1,0,1,-0.013011610394847342,-0.014351124735068306,-0.038537858995971376,3,0,0.25,0.5,0.75,0.5,0.25
25,1,1,1,0,2,Control,opposition,Independent,No party ID,Independent,NSW,female,0,61,1.5,0.5714285714285714,0.3333333333333333,0.33,0.53,16,4,2,2,3,1,1,0,0,0,-0.8769892404539334,-0.9672731967175546,-0.9146963689363165,2,0,0,0.5,0.5,0.5,0.5
26,1,1,1,0,2,Court,ruling,Independent,No party ID,Independent,NSW,male,1,61,1,0.6428571428571429,0.5,0.6,0.69,16,4,4,4,5,1,1,1,1,1,0.7981131032646168,0.8802769488224812,0.7817267240594304,5,0,0.75,0.75,0.75,0.75,0
27,1,1,1,1,3,Court,ruling,ruling,Labor,In-group,WA,male,1,60,1,0.35714285714285715,0.3333333333333333,1,0.605,17,4,4,4,4,1,1,1,1,1,0.5922151919349552,0.6531823372783035,0.5686032263779456,5,0.125,0.5,0.5,0.5,0.5,0.5
28,1,1,1,1,3,Protests,opposition,opposition,Coalition,In-group,QLD,male,1,64,1.5,0.7142857142857143,0.3333333333333333,0.67,0.5,16,3,4,3,3,1,0,1,0,0,-0.3468280073678759,-0.3825331257476548,-0.38176570220568334,2,0,0.5,0.75,0.75,0.75,0.5
29,1,1,0,1,0,Election,ruling,ruling,Labor,In-group,NSW,female,0,59,1.5,0.2857142857142857,0,0.9,0.195,15,4,1,2,1,0,1,0,0,0,-1.8515955931859036,-2.042212955226266,-1.90197554480438,1,1,0,0,0,0,1
30,0,0,0,1,2,Protests,opposition,opposition,Coalition,In-group,NSW,male,1,64,1,0.5714285714285714,,0,1,17,5,2,3,4,1,1,0,0,1,,,0.03567255964731255,3,0,0,0.5,0.5,0.5,0.5
31,1,1,0,1,0,Election,opposition,ruling,Labor,Out-group,VIC,male,1,54,0.5,0.21428571428571427,0,0.94,0.065,16,4,4,2,3,1,1,1,0,0,-0.5188790941688417,-0.572296462687296,-0.5732580810954911,3,0.75,0,0,0,0,1
32,0,0,1,1,2,Control,ruling,opposition,Coalition,Out-group,WA,male,1,64,0.5,0.7142857142857143,0.8333333333333334,0.02,0.81,17,4,1,3,4,1,1,0,0,1,,,-0.2778187647510411,3,0.125,0.25,0.75,0.75,0.25,0
