treatment,mediator,mediator_label,n,mediator_treat_coef,mediator_treat_p,mediator_treat_consp_coef,mediator_treat_consp_p,mediator_effect_low,mediator_effect_high,total_treat_coef,total_treat_p,total_treat_consp_coef,total_treat_consp_p,total_effect_low,total_effect_high,acme_low,acme_low_lower,acme_low_upper,acme_low_p,ade_low,ade_low_p,prop_med_low,prop_med_low_p,acme_high,acme_high_lower,acme_high_upper,acme_high_p,ade_high,ade_high_p,prop_med_high,prop_med_high_p
Election,undemocratic_perception,Undemocraticness,1227,0.161,<.001,-0.086,0.002,0.246,0.075,-0.44,<.001,0.289,0.004,-0.729,-0.15,-0.4430445249086541,-0.6075487437096032,-0.3148655007825102,<.001,-0.288,0.024,0.603,<.001,-0.1298615541628072,-0.2624824108707109,-0.005644192363447662,0.040,-0.029,0.796,0.627,0.280
Protests,undemocratic_perception,Undemocraticness,1227,0.063,0.021,-0.036,0.209,0.099,0.027,0.044,0.661,0.171,0.100,-0.128,0.215,-0.17565153442108372,-0.3209563760558448,-0.04284421349273018,0.004,0.047,0.664,1.012,0.332,-0.04254731725537449,-0.17832787638768588,0.09619765941103116,0.516,0.261,0.080,-0.142,0.660
Court,undemocratic_perception,Undemocraticness,1227,0.156,<.001,-0.09,0.001,0.246,0.065,-0.496,<.001,0.349,<.001,-0.845,-0.147,-0.4463698853558214,-0.5933568340091819,-0.30113130711643954,<.001,-0.406,<.001,0.523,<.001,-0.10946079828471975,-0.26517054776871274,0.03801857394776806,0.124,-0.03,0.828,0.544,0.284
Election,negative,Negative emotion,1227,0.155,<.001,-0.019,0.429,0.174,0.136,-0.44,<.001,0.289,0.004,-0.729,-0.15,-0.2706524381568865,-0.40347993977314306,-0.16564390616001362,<.001,-0.437,<.001,0.382,<.001,-0.11380192039670528,-0.20282082493938458,-0.04256016756431444,<.001,-0.053,0.728,0.534,0.260
Protests,negative,Negative emotion,1227,0.066,0.005,-0.004,0.881,0.07,0.062,0.044,0.661,0.171,0.100,-0.128,0.215,-0.10672715669512488,-0.19755088878594304,-0.02078409997681128,0.012,-0.037,0.776,0.587,0.240,-0.050612595051420024,-0.12067639258013159,0.0018444848235881386,0.068,0.281,0.064,-0.184,0.204
Court,negative,Negative emotion,1227,0.151,<.001,-0.002,0.943,0.153,0.15,-0.496,<.001,0.349,<.001,-0.845,-0.147,-0.23422235253088539,-0.33160761415784723,-0.12832811827375076,<.001,-0.601,<.001,0.282,<.001,-0.12666095639690214,-0.2178659827103236,-0.05105044266417068,<.001,-0.039,0.800,0.569,0.284
Election,enthusiasm,Enthusiasm,1227,0.021,0.403,0.079,0.003,-0.058,0.1,-0.44,<.001,0.289,0.004,-0.729,-0.15,-0.08047849013110435,-0.16821206055547303,0.013260670414621372,0.076,-0.647,<.001,0.111,0.076,0.17755035578320216,0.05045213577354969,0.29859679032047104,<.001,-0.329,0.004,-0.777,0.316
Protests,enthusiasm,Enthusiasm,1227,0.099,<.001,0.047,0.088,0.053,0.146,0.044,0.661,0.171,0.100,-0.128,0.215,0.07246534237660836,-0.0210885067181728,0.1691351885008588,0.108,-0.209,0.104,-0.326,0.400,0.2629265189250069,0.12959430436200567,0.40297523174155436,<.001,-0.04,0.812,0.997,0.200
Court,enthusiasm,Enthusiasm,1227,0.036,0.160,0.07,0.010,-0.034,0.106,-0.496,<.001,0.349,<.001,-0.845,-0.147,-0.045407892638853385,-0.13479491758548554,0.0550747690341971,0.368,-0.794,<.001,0.057,0.368,0.18563631499293692,0.059935620351046485,0.3346786084623081,0.008,-0.349,<.001,-0.806,0.264
Election,trustworthy,Trustworthiness,1227,-0.117,<.001,0.11,<.001,-0.227,-0.007,-0.44,<.001,0.289,0.004,-0.729,-0.15,-0.4140634003811572,-0.5427861589118306,-0.2897591206829317,<.001,-0.306,0.004,0.576,<.001,-0.01327063747790715,-0.17526969919716814,0.14690815386621203,0.860,-0.135,0.336,0.135,0.772
